Player,Sim,1,2,3,4,5,6,7,8,9
Michael Ruffin,,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
Togo Palazzi,84.2,2.0,1.7,1.6,0.8,0.6,-0.2,,,
Richard Anderson,83.3,2.3,2.1,1.3,1.0,0.5,0.5,,,
John Wallace,82.0,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,
Al Thornton,80.6,2.2,1.6,1.3,1.1,,,,,
Bob Brannum,79.5,2.0,1.6,1.1,0.8,0.0,,,,
Charles Davis,79.2,2.1,1.5,1.0,0.9,0.5,0.3,-0.2,-0.3,
Jeff Ayres,78.6,2.4,1.3,1.2,1.0,0.3,0.2,,,
Larry Staverman,78.3,1.6,1.6,1.4,1.2,1.1,,,,
Major Jones,76.5,1.3,1.3,1.2,0.9,0.7,0.1,,,
Rory White,76.5,2.6,1.5,1.0,1.0,0.4,,,,
