Player,Sim,1,2,3,4,5,6,7,8
Mario Chalmers,,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7
Johnny Davis,92.4,5.7,5.2,5.1,4.4,4.3,3.5,3.3,2.5
Chris Ford,91.3,5.6,4.7,4.3,3.6,3.5,2.8,2.7,2.5
Courtney Lee,91.2,4.8,4.7,4.4,3.9,3.3,3.2,3.1,2.7
Jarrett Jack,90.5,5.6,4.8,4.8,4.1,3.8,3.2,2.4,1.2
Greg Anthony,89.9,5.5,4.8,4.6,3.5,2.9,2.8,2.7,2.2
Sherman Douglas,88.8,5.4,4.6,4.4,4.2,3.3,2.7,2.6,1.0
Adrian Smith,88.8,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8
Al Attles,87.5,5.6,5.3,5.2,5.2,3.5,3.4,1.9,1.7
Chucky Atkins,87.5,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5
Austin Carr,86.9,5.9,5.4,5.3,5.0,3.4,2.9,2.6,1.0
