Player,Sim,1,2,3,4,5,6,7,8,9
Anthony Davis,,14.0,10.4,7.2,6.1,,,,,
Kawhi Leonard,81.4,13.7,8.6,7.7,6.2,5.5,,,,
Bob Feerick,77.9,18.6,10.5,8.9,3.6,,,,,
Paul George,77.3,10.8,9.2,9.0,6.0,2.4,0.0,,,
Goose Ligon,75.5,9.9,9.7,6.5,6.3,2.4,1.0,0.3,,
Joe Fulks,66.1,16.3,7.7,6.0,4.3,-0.6,-0.8,-1.8,-1.8,
Willie Wise,65.3,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0.0
Arnie Johnson,63.2,9.1,8.7,7.5,7.2,6.7,,,,
Kenny Sears,62.7,13.3,10.0,8.8,8.0,6.2,4.0,3.7,1.8,
Tristan Thompson,61.8,8.7,6.8,5.7,5.2,1.1,,,,
John Beasley,61.7,8.9,8.1,8.0,6.8,3.3,2.0,0.8,,
