Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,20,NOP,NBA,PF,1,0,9:35,5,6,.833,0,0,,0,0,,0,1,0,2,0,1,0,10
2014-15,21,NOP,NBA,PF,,0,,,,,,,,,,,,,,,,,,
2015-16,22,NOP,NBA,C,1,0,15:19,12,13,.923,0,0,,0,0,,3,6,0,1,0,0,1,24
2016-17,23,NOP,,C,,0,,,,,,,,,,,,,,,,,,
