Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,55,1124,,,19%,60%,21%,-0.2,-1.0,16,13,31,57,0,21,0,86,53,9,38
3 seasons,,IND,NBA,,25,570,,1%,28%,66%,5%,+0.7,-1.0,9,9,21,21,0,13,0,48,28,4,15
2 seasons,,DEN,NBA,,12,233,,,22%,73%,5%,-0.5,+1.9,3,2,2,9,0,2,0,25,7,1,12
1 season,,GSW,NBA,,11,262,,,,26%,74%,+1.6,+0.2,4,0,6,20,0,4,0,13,15,4,11
1 season,,WAS,NBA,,7,59,,,,95%,5%,-15.5,-18.6,0,2,2,7,0,2,0,0,3,0,0
