Season,Team,Lg,Salary
2012-13,Milwaukee Bucks,NBA,"$1,823,280"
2013-14,Milwaukee Bucks,NBA,"$1,905,360"
2014-15,Milwaukee Bucks,NBA,"$1,987,320"
2015-16,Milwaukee Bucks,NBA,"$2,943,221"
