Player,Sim,1,2,3,4,5,6,7,8
Cartier Martin,,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,
Yi Jianlian,72.7,1.3,0.7,0.7,0.4,0.0,,,
Loren Woods,71.3,1.1,0.7,0.5,0.4,0.4,0.1,,
Julian Wright,71.1,1.7,0.8,0.8,0.6,,,,
Anthony Miller,70.8,1.2,1.2,0.8,0.6,0.0,0.0,0.0,-0.1
Gary Gregor,68.0,1.4,1.1,0.8,0.5,0.5,-0.4,,
Ray Tolbert,67.6,1.1,0.8,0.7,0.3,0.0,,,
Steve Green,66.7,1.2,1.1,0.7,0.4,,,,
Pete Verhoeven,64.8,2.1,1.2,0.8,0.7,0.4,0.0,,
D.J. White,64.0,1.8,0.8,0.6,0.4,0.2,0.0,,
Major Jones,63.4,1.3,1.3,1.2,0.9,0.7,0.1,,
