Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Shandon Anderson,,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,
Charlie Villanueva,90.2,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,,
James Jones,89.0,4.7,4.0,3.7,2.5,2.2,1.7,1.5,1.2,1.0,0.9,0.7,0.2,0.0
Pat Cummings,88.3,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,
Allan Bristow,87.9,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,,,
Kwame Brown,87.3,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,
Stromile Swift,86.0,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,,,
Nate Williams,86.0,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,,,,
Lamond Murray,85.3,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,,
Eduardo Najera,84.4,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,
Gar Heard,84.2,5.0,4.5,4.5,2.6,2.4,2.3,2.1,2.0,1.7,0.1,-0.3,,
