Player,Sim,1,2,3,4,5,6,7,8,9,10
Roger Mason,,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Al Skinner,87.4,4.9,3.3,2.1,1.8,1.2,0.0,,,,
Paul Hoffman,85.9,4.7,4.1,2.2,1.1,0.8,,,,,
Al Smith,85.9,4.5,3.3,1.8,0.9,0.6,,,,,
Slick Watts,84.5,4.7,3.3,2.7,1.2,1.2,0.8,,,,
Brandon Knight,82.9,4.5,2.8,1.7,1.3,1.1,,,,,
Lee Winfield,82.8,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,,
Keith Askins,82.6,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,
Jaren Jackson,81.9,4.1,3.1,2.1,1.6,0.4,0.1,0.0,0.0,0.0,-0.1
Fred Carter,81.9,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,
Billy Kenville,81.3,4.5,3.9,3.0,1.4,0.5,0.4,,,,
