3-Pt Field Goals
2008-09 NBA 180 (5th)
2009-10 NBA 158 (9th)
2013-14 NBA 189 (10th)
2015-16 NBA 204 (7th)
Active 1729 (9th)
Career NBA 1729 (16th)
Career 1729 (16th)
