3-Pt Field Goal Attempts
2008-09 NBA 453 (5th)
2009-10 NBA 467 (3rd)
2015-16 NBA 510 (8th)
Active 4614 (7th)
Career NBA 4614 (13th)
Career 4614 (13th)
