Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Shaun Livingston,,4.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1,,
Tom Henderson,91.0,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,,,,
Bill Hanzlik,90.3,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7,,,
Randy Foye,89.9,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,,,
Anthony Johnson,88.6,4.5,4.0,3.6,2.8,2.0,1.8,1.2,1.1,1.0,0.7,0.4,0.3,-0.2
Ernie Grunfeld,88.5,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,,,
Henry Bibby,86.6,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,,,
Calbert Cheaney,86.5,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0.0,-0.1
Scott Brooks,86.4,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,
Eric Gordon,85.8,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,,,,,
Keith Bogans,84.8,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0.0,,
