Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Wally Szczerbiak,,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,,
Rodney McCray,93.2,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,,,
Greg Ballard,92.8,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0,,
Troy Murphy,92.3,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3,
Bob Netolicky,90.8,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,,,
Sean Elliott,90.2,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3.0,1.5,1.4,1.4,0.5,
Jack Marin,89.3,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,,
Mickey Johnson,88.7,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,
Truck Robinson,88.4,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1,,
Bob Love,88.3,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2,,
Scott Wedman,88.0,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1
