Offensive Rebound Pct
2007-08 NBA 13.1 (7th)
2008-09 NBA 12.5 (10th)
2009-10 NBA 13.1 (5th)
2013-14 NBA 14.4 (2nd)
Active 12.2 (6th)
Career NBA 12.2 (21st)
Career 12.2 (22nd)
