Blocks Per Game
2003-04 NBA 2.3 (9th)
2005-06 NBA 2.4 (6th)
2007-08 NBA 2.3 (4th)
2008-09 NBA 1.8 (10th)
2009-10 NBA 1.8 (7th)
2011-12 NBA 1.7 (10th)
Active 1.7 (5th)
Career NBA 1.7 (31st)
Career 1.7 (32nd)
