Total Rebound Pct
2008-09 NBA 20.6 (5th)
2009-10 NBA 21.8 (3rd)
2010-11 NBA 19.3 (7th)
2011-12 NBA 18.3 (6th)
2013-14 NBA 19.4 (8th)
Active 18.7 (5th)
Career NBA 18.7 (14th)
Career 18.7 (16th)
