Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,149,12,1834,6.6,10.8,.617,0.0,0.0,.000,6.6,10.8,.618,3.0,5.2,.576,4.5,8.9,13.4,1.1,0.9,1.6,1.8,7.9,16.3,,122,106
3 seasons,,HOU,NBA,,89,10,1279,7.6,12.3,.623,0.0,0.0,.000,7.6,12.2,.625,3.2,5.3,.615,5.0,9.4,14.4,1.0,0.8,1.8,1.8,8.2,18.5,,125,105
1 season,,DAL,NBA,,42,2,363,4.2,6.8,.612,0.0,0.0,,4.2,6.8,.612,2.8,5.4,.513,3.6,7.4,11.0,1.3,1.0,1.5,1.5,7.4,11.1,,119,107
1 season,,MIN,NBA,,18,0,192,4.7,8.4,.563,0.0,0.0,,4.7,8.4,.563,1.8,4.5,.412,3.2,7.9,11.0,1.6,1.1,0.3,1.8,7.4,11.3,,105,111
