Player,Sim,1,2,3,4,5,6,7,8,9,10
Damian Lillard,,10.6,9.6,9.2,5.8,,,,,,
Jimmy Butler,85.3,11.2,9.1,7.1,7.0,1.1,,,,,
Darel Carrier,79.3,8.7,8.0,7.8,4.9,0.9,0.2,,,,
Brandon Roy,79.2,13.5,9.1,8.0,4.8,2.1,0.0,,,,
Micheal Williams,73.9,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
Klay Thompson,73.1,8.8,8.0,6.7,4.3,1.7,,,,,
Doug Collins,71.9,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,
Max Zaslofsky,71.8,10.2,9.6,9.4,8.4,3.7,2.7,1.7,1.7,0.6,0.3
John Logan,71.7,9.2,8.3,5.2,4.3,1.0,,,,,
Isaiah Thomas,70.0,9.7,7.7,6.1,5.0,4.3,,,,,
Glen Combs,69.6,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,
