Field Goal Attempts
1997-98 NBA 1505 (3rd)
1998-99 NBA 876 (8th)
1999-00 NBA 1636 (5th)
2000-01 NBA 1552 (9th)
Career NBA 15095 (59th)
Career 15095 (62nd)
