Minutes Per Game
1997-98 NBA 41.4 (1st)
1998-99 NBA 41.0 (3rd)
1999-00 NBA 42.2 (1st)
2000-01 NBA 42.0 (1st)
2001-02 NBA 39.9 (10th)
Career NBA 34.4 (97th)
