Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,26,DAL,NBA,SF,1,0,10:00,5,6,.833,1,2,.500,0,0,,0,1,0,0,0,1,0,11
2000-01,27,DAL,NBA,SF,1,0,19:00,5,15,.333,0,2,.000,2,2,1.000,2,3,5,0,0,1,0,12
