Player,Sim,1,2,3,4,5,6,7,8
Marcus Banks,,2.3,1.9,0.8,0.7,0.5,0.4,0.0,0.0
Claude Terry,82.1,2.4,1.8,1.0,1.0,0.8,0.0,,
Travis Diener,80.0,2.5,1.9,0.7,0.6,0.0,,,
Chris Douglas-Roberts,78.3,2.4,1.6,0.7,0.6,0.1,0.0,,
Shelvin Mack,76.8,2.3,1.3,1.3,0.7,0.5,,,
John Wetzel,76.1,2.0,1.5,1.1,0.7,0.5,0.5,0.4,
Mike Barr,75.8,2.7,1.7,1.4,0.7,0.4,,,
James Robinson,75.0,2.3,1.9,1.2,0.2,0.2,0.0,-0.1,
Dion Glover,74.4,2.6,1.1,0.9,0.8,0.3,0.2,,
Jeff Judkins,74.2,3.0,1.8,0.7,0.6,0.2,,,
Joe Hassett,73.0,2.0,1.6,1.4,0.9,0.5,0.0,,
