Player,Sim,1,2,3,4,5,6,7,8,9
Jonas Jerebko,,4.4,3.5,3.3,2.4,2.0,1.4,,,
Kenny Walker,90.5,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,
Bill Calhoun,89.6,4.5,4.1,3.9,2.2,2.1,1.4,0.4,,
John Brown,89.1,4.2,3.7,2.6,2.3,1.7,1.7,0.1,,
Andray Blatche,86.8,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Kenny Gattison,86.5,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0
Craig Smith,86.4,3.9,3.5,3.1,3.0,1.5,1.0,,,
Ronald Franz,86.0,5.9,3.7,3.3,2.2,2.1,0.9,,,
Jeff Cook,85.6,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,
Nick Weatherspoon,85.2,3.7,3.6,2.6,2.4,2.1,0.6,0.1,,
Willie Norwood,85.1,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,
