Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,28,633,55%,30%,15%,,,-1.2,+0.4,10,20,5,25,0,4,1,207,35,6,19
2 seasons,,DET,NBA,,21,508,64%,18%,18%,,,-3.2,-0.5,10,14,5,21,0,4,0,170,32,6,15
1 season,,IND,NBA,,7,125,20%,79%,1%,,,+6.9,+4.1,0,6,0,4,0,0,1,37,3,0,4
