Points Per Game
2003-04 NBA 21.7 (10th)
2005-06 NBA 25.4 (9th)
2006-07 NBA 26.7 (5th)
2007-08 NBA 22.7 (8th)
Career NBA 19.0 (76th)
Career 19.0 (83rd)
