Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Michael Redd,,10.8,9.7,8.0,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1
James Silas,88.4,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,
Mike Conley,88.1,9.9,8.2,6.8,6.6,6.4,5.3,4.5,4.0,1.1,,,
Jim Paxson,87.4,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,
Kevin Martin,87.2,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1
Jeff Mullins,87.0,10.0,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
Archie Clark,87.0,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7,,
Ron Boone,86.7,9.7,8.3,8.1,6.2,5.9,5.9,5.1,4.0,2.8,2.6,1.0,0.4
Donnie Freeman,86.6,10.0,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,,,
Rajon Rondo,86.3,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,1.6,1.1,,
Steve Francis,86.2,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,,,
