Player,Sim,1,2,3,4,5,6,7,8
Brandan Wright,,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7
Danny Ferry,91.3,5.6,5.5,3.9,3.6,1.7,1.3,1.0,1.0
Luke Jackson,90.8,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8
Tracy Murray,90.2,6.5,4.9,4.4,3.8,2.2,0.5,0.5,0.3
Adam Keefe,88.2,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Desmond Mason,87.0,5.7,5.2,4.7,4.3,1.7,1.5,0.6,-0.2
Buck Johnson,86.2,6.2,4.6,3.6,2.3,2.1,1.2,0.7,
Chuck Hayes,86.0,6.4,6.3,4.4,3.6,2.4,1.6,1.5,0.6
Chris Andersen,84.9,5.9,5.4,4.5,2.4,1.3,1.1,0.3,0.0
Dave Gambee,84.8,7.0,5.3,4.6,3.3,2.2,1.6,0.0,
Patrick Patterson,84.7,6.1,4.1,3.8,3.6,2.4,1.6,,
