Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brandan Wright,,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7,,,,
Luke Jackson,90.8,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,,
Tracy Murray,89.1,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Adam Keefe,87.8,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,,
Buck Johnson,86.2,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,,,
Desmond Mason,86.2,5.7,5.2,4.7,4.3,1.7,1.5,0.6,0.0,-0.2,-0.3,,
Dorell Wright,85.1,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,
Patrick Patterson,84.7,6.1,4.1,3.8,3.6,2.4,1.6,,,,,,
Greg Smith,84.5,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0.0,,,,
Pervis Ellison,84.0,6.9,4.0,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0.0,0.0,
Dick Schnittker,83.3,6.2,5.3,3.5,2.8,2.6,1.6,,,,,,
