Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Terrence Jones,,7.3,3.0,1.5,0.7,,,,,,,,
Don May,82.8,6.1,2.9,1.3,0.5,0.3,0.2,0.0,,,,,
Jae Crowder,82.4,7.3,3.9,2.3,1.5,,,,,,,,
Brian Cardinal,80.8,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0.0,0.0,0.0,0.0
Tyler Zeller,79.8,6.5,2.6,2.0,1.7,,,,,,,,
Toby Knight,77.6,7.3,5.7,1.6,1.1,,,,,,,,
Gary Bradds,74.2,8.0,3.6,3.4,0.5,0.3,0.0,,,,,,
Travis Grant,73.8,5.6,4.1,1.5,0.5,,,,,,,,
Fabricio Oberto,73.7,6.1,4.1,1.7,1.1,0.6,0.0,,,,,,
Larry Stewart,72.0,4.7,2.9,1.6,0.5,0.1,,,,,,,
Markieff Morris,71.8,6.4,4.6,1.7,1.5,0.5,,,,,,,
