Player,Sim,1,2,3,4,5,6,7,8
Wesley Johnson,,2.6,1.9,1.7,1.3,0.6,0.0,,
Jon Leuer,89.2,2.7,2.0,1.4,1.3,0.2,,,
Sam Mack,85.0,2.8,1.9,1.3,1.1,0.3,0.0,-0.1,
Willie Burton,85.0,2.6,2.1,2.0,1.6,0.5,0.2,0.1,-0.1
Shellie McMillon,84.4,2.5,2.2,1.7,1.7,,,,
Mark Acres,84.3,2.5,2.2,1.9,1.6,0.9,0.3,,
Quincy Acy,83.2,2.5,1.7,1.5,1.1,,,,
Ronald Thomas,83.0,2.7,2.0,1.8,0.8,,,,
Mark Alarie,82.9,3.1,2.2,1.5,0.9,0.6,,,
McCoy McLemore,81.6,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3
Shawne Williams,80.7,2.5,1.9,1.4,0.7,0.7,0.0,-0.4,
