Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,31,932,18.0,.530,.360,.433,2.3,11.1,6.6,24.3,2.1,0.9,12.9,27.9,,1.2,0.9,2.0,.104,,2.9,-0.1,2.9,1.1
3 seasons,,WAS,NBA,,20,828,19.0,.540,.365,.476,2.0,10.9,6.3,23.7,2.3,0.9,13.0,27.9,,1.2,0.7,1.9,.112,,3.1,0.1,3.2,1.1
1 season,,MEM,NBA,,6,23,-8.1,.250,.500,.000,0.0,5.5,2.7,7.5,0.0,0.0,11.1,18.1,,-0.1,0.0,-0.1,-0.165,,-7.5,-3.0,-10.5,0.0
1 season,,ORL,NBA,,5,81,15.9,.482,.286,.143,5.8,14.9,10.3,35.0,0.7,1.0,11.8,29.7,,0.1,0.1,0.2,.108,,4.2,-0.7,3.6,0.1
