Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23,WAS,NBA,PG,1,0,15:00,3,11,.273,1,3,.333,0,0,,1,2,3,0,0,0,1,7
2005-06,24,WAS,NBA,PG,1,0,9:51,0,4,.000,0,2,.000,1,2,.500,0,0,1,1,0,1,1,1
2006-07,25,WAS,NBA,PG,1,1,19:48,3,8,.375,2,7,.286,0,0,,0,1,4,2,0,1,0,8
