Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2001-02,23,NJN,NBA,C,17,227,,,,1%,99%,1.8,2.8,6,1,5,15,,3,0,15,9,0,6
2002-03,24,NJN,NBA,C,20,529,,,,1%,99%,12.7,19.8,1,5,12,37,,10,0,39,20,1,14
2003-04,25,NJN,NBA,C,11,266,,,,,100%,12.4,19.5,2,6,7,20,,5,0,41,6,2,5
2004-05,26,NJN,NBA,C,4,128,,,,,100%,-12.2,1.8,0,0,5,7,,3,0,3,3,0,2
2005-06,27,NJN,NBA,C,11,302,,,,,100%,0.0,2.7,3,1,5,26,,3,0,6,9,2,3
2006-07,28,NJN,NBA,PF,12,329,,,,68%,32%,5.5,9.7,3,6,7,21,,5,0,4,4,0,4
2009-10,31,ATL,NBA,C,3,10,,,,,100%,-15.8,-7.5,0,0,1,3,,1,0,0,0,0,0
2010-11,32,ATL,NBA,C,12,158,,,,,100%,-4.8,0.4,0,1,4,22,0,2,0,2,3,0,1
2011-12,33,ATL,NBA,C,5,85,,,,,100%,-2.5,3.6,4,1,5,7,2,4,0,0,0,0,1
