Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,95,2034,.400,7.6,.992,.494,.094,.188,.216,.008,.403,.532,.250,.354,.218,.000,.637,.078,17,,.000,,1,0
6 seasons,,NJN,NBA,,75,1781,.373,7.8,.991,.480,.098,.196,.218,.009,.377,.519,.227,.318,.184,.000,.619,.080,15,,.000,,1,0
3 seasons,,ATL,NBA,,20,253,.600,6.6,1.000,.600,.067,.133,.200,.000,.600,.611,.500,.750,.500,,.722,.067,2,,,,0,0
