Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,485,16883,.434,14.4,.794,.139,.145,.226,.285,.206,.452,.592,.435,.432,.408,.365,.451,.009,61,.888,.415,.398,6,0
3 seasons,,TOR,NBA,,177,5914,.431,14.0,.772,.156,.160,.223,.234,.228,.456,.609,.465,.417,.385,.345,.340,.012,27,.914,.486,.391,4,0
3 seasons,,CHI,NBA,,128,5096,.419,15.1,.784,.141,.109,.210,.324,.216,.431,.530,.388,.438,.398,.376,.444,.007,11,.886,.288,.378,2,0
2 seasons,,IND,NBA,,125,4880,.451,14.0,.849,.111,.176,.257,.306,.151,.470,.671,.439,.443,.438,.347,.569,.011,22,.847,.463,.392,0,0
1 season,,PHO,NBA,,29,246,.442,20.5,.453,.012,.058,.105,.279,.547,.436,1.000,.400,.556,.375,.447,.471,.000,0,.952,.426,.500,0,0
1 season,,NYK,NBA,,26,747,.460,13.0,.762,.234,.130,.180,.218,.238,.451,.518,.419,.395,.442,.491,.415,.004,1,.857,.596,.500,0,0
