Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Jalen Rose,,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,,,,,
Sedale Threatt,91.1,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,,,,
Devin Harris,90.0,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,2.5,1.6,,,,,,
Kendall Gill,89.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4,,,
Jameer Nelson,87.8,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5,,,,,,
J.R. Smith,87.3,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2,,,,,,
Craig Ehlo,87.0,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0.0,,,,
Steve Kerr,86.5,8.3,7.5,6.1,5.9,3.8,3.2,2.4,2.2,1.8,1.6,1.5,1.3,0.6,0.6,0.4,,,
Vinnie Johnson,85.8,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,,,,,
Jerry Stackhouse,85.7,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0.0,-0.4
Brad Davis,85.4,7.4,7.3,6.2,6.2,5.4,4.2,4.0,3.9,2.9,2.7,1.6,0.6,0.6,0.3,0.1,,,
