Free Throw Attempts
2003-04 NBA 620 (3rd)
2004-05 NBA 657 (8th)
2006-07 NBA 633 (6th)
2007-08 NBA 681 (6th)
2009-10 NBA 551 (9th)
Career NBA 5599 (57th)
Career 5599 (62nd)
