Player,Sim,1,2,3,4,5,6,7,8,9,10
Nenad Krstic,,5.4,4.4,4.2,4.0,1.9,1.7,-0.1,,,
Tim McCormick,89.9,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,
Lloyd Neal,89.7,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,,,
Blair Rasmussen,86.8,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,
Jack Nichols,86.0,6.7,4.4,4.3,4.1,2.5,1.6,1.0,0.3,,
Randy Denton,83.4,5.5,4.3,3.9,3.1,3.0,0.4,,,,
JaVale McGee,83.2,5.3,4.9,4.1,2.1,2.0,1.1,0.4,-0.1,,
Kevin Kunnert,82.9,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,
Sam Bowie,81.4,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
John Gianelli,80.1,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,
Omer Asik,80.1,5.5,5.0,2.7,2.6,2.4,1.7,,,,
