Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Bryon Russell,,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0.0,,
Anderson Varejao,87.1,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,,,
Bo Outlaw,87.0,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2,0.0
Dave Greenwood,86.8,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2.0,1.7,1.1,0.4,,,
Kelly Tripucka,86.1,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2.0,1.7,,,,,
Scott Wedman,85.9,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1,,
Udonis Haslem,85.1,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4,,
Jim McMillian,84.9,8.9,7.9,7.8,6.4,6.0,3.4,2.6,2.5,0.5,,,,,,
Jamal Mashburn,84.4,9.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2,,,,
Drew Gooden,84.0,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1,
Vin Baker,83.9,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,0.1,-0.4,,
