Season,Team,Lg,Salary
2009-10,Minnesota Timberwolves,NBA,"$1,003,560"
2010-11,Minnesota Timberwolves,NBA,"$1,078,800"
2011-12,Minnesota Timberwolves,NBA,"$1,154,040"
2012-13,Cleveland Cavaliers,NBA,"$2,083,042"
2013-14,Dallas Mavericks,NBA,"$2,652,000"
2014-15,Los Angeles Lakers,NBA,"$1,063,384"
2014-15,Sacramento Kings,NBA,"$923,780"
2015-16,Brooklyn Nets,NBA,"$1,500,000"
2015-16,Sacramento Kings,NBA,"$923,670"
