Player,Sim,1,2,3,4,5,6,7
Wayne Ellington,,3.2,1.2,0.8,0.8,0.7,0.4,0.3
Bucky Bockhorn,79.6,3.1,1.5,1.3,1.1,0.5,0.3,0.1
Jon Sundvold,77.7,3.0,1.5,1.2,1.0,1.0,0.8,0.2
Dion Glover,75.0,2.6,1.1,0.9,0.8,0.3,0.2,
Quinton Ross,71.9,3.2,1.7,1.6,0.7,0.6,0.0,-0.1
Robert Smith,71.1,2.9,1.4,0.8,0.6,0.0,0.0,0.0
Anthony Johnson,70.6,3.6,1.8,1.1,0.7,0.4,0.3,-0.2
Sasha Pavlovic,69.0,3.1,1.7,0.9,0.8,0.5,0.2,-1.2
Mike Evans,69.0,2.9,1.6,1.1,0.9,0.1,-0.1,-0.2
Ennis Whatley,68.6,3.3,1.9,0.8,0.6,0.0,0.0,0.0
Alec Burks,68.0,3.2,1.7,1.5,1.5,1.0,,
