Player,Sim,1,2,3,4,5,6,7,8,9,10
Trevor Booker,,4.3,4.3,3.6,3.0,2.6,2.3,,,,
Ryan Gomes,90.4,4.8,4.2,3.1,2.5,2.5,2.4,0.0,-0.2,,
Nate Williams,86.8,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,
Len Chappell,86.5,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Wilson Chandler,85.0,3.9,3.6,3.1,3.1,3.1,2.7,0.5,-0.1,,
Danny Fortson,84.7,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0.0
Bill Calhoun,84.7,4.5,4.1,3.9,2.2,2.1,1.4,0.4,,,
Andray Blatche,84.7,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,
Kenny Walker,84.2,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,
Tyler Hansbrough,84.0,4.4,3.9,3.8,3.4,3.0,1.0,0.7,,,
Dave Stallworth,83.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0,,
