Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Deron Williams,,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,,,,
Mookie Blaylock,89.7,12.5,10.2,9.4,9.0,7.0,5.6,4.9,4.7,3.5,3.3,2.1,-0.1,-0.3,,
Gus Williams,89.7,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,,,,
Stephon Marbury,89.1,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1,-0.3,,
Dick Van Arsdale,89.0,10.4,10.2,9.0,8.7,7.0,5.9,5.6,5.2,4.0,3.8,2.7,2.6,,,
Tim Hardaway,88.2,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3,1.8,0.2,,
Louie Dampier,86.9,10.1,9.5,8.5,8.1,7.4,7.2,6.0,5.4,5.0,4.0,1.6,1.2,,,
Archie Clark,86.9,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7,,,,,
Mark Price,86.7,11.3,10.1,10.0,9.8,9.1,7.8,4.2,4.0,2.0,1.7,1.1,0.0,,,
Bobby Wanzer,86.1,11.4,10.5,9.1,7.9,7.0,6.9,5.4,4.8,1.0,,,,,,
Walter Davis,85.1,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.6,3.5,2.7,2.0,1.5,0.6
