Offensive Box Plus/Minus
2007-08 NBA 4.3 (7th)
2008-09 NBA 4.3 (6th)
2009-10 NBA 4.3 (9th)
2010-11 NBA 5.2 (4th)
2011-12 NBA 4.9 (8th)
2012-13 NBA 5.5 (5th)
Career NBA 3.3 (37th)
Career 3.3 (36th)
