Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,818,28320,82%,18%,1%,,,+1.7,+2.6,1338,670,345,872,29,169,31,15043,1141,321,696
6 seasons,,UTA,NBA,,439,15632,90%,10%,,,,+3.3,+1.5,767,349,221,562,0,116,0,8756,797,209,438
5 seasons,,"NJN,BRK",NBA,,277,9470,85%,14%,,,,+0.2,+5.2,473,209,94,267,12,62,14,4749,423,95,201
2 seasons,,DAL,NBA,,102,3218,31%,62%,7%,,,-1.6,-1.0,98,112,30,114,17,12,17,1538,86,17,57
