Assists Per Game
2006-07 NBA 9.3 (2nd)
2007-08 NBA 10.5 (3rd)
2008-09 NBA 10.7 (2nd)
2009-10 NBA 10.5 (3rd)
2010-11 NBA 10.3 (3rd)
2011-12 NBA 8.7 (5th)
2012-13 NBA 7.7 (5th)
2016-17 NBA 7.1 (9th)
Active 8.2 (4th)
Career NBA 8.2 (12th)
Career 8.2 (12th)
