Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Blake Griffin,,12.2,10.6,9.8,9.2,9.0,3.8,,,,,
Willie Wise,84.7,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0.0,,
Kevin Love,82.9,14.3,11.4,10.0,8.7,8.5,5.3,4.9,1.1,,,
Roger Brown,80.3,13.3,10.9,10.0,9.3,7.3,6.5,6.1,1.8,,,
Kenny Sears,80.2,13.3,10.0,8.8,8.0,6.2,4.0,3.7,1.8,,,
George Yardley,80.2,12.3,10.0,9.0,7.6,7.5,6.8,5.3,,,,
Al Horford,77.9,10.9,10.1,9.4,8.8,8.7,6.8,5.5,2.8,1.3,,
Calvin Natt,77.2,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0.0
Rudy Tomjanovich,72.8,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1.0
Terry Dischinger,71.6,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,,
Red Robbins,71.4,10.7,9.3,7.0,6.9,6.7,3.9,3.7,2.3,,,
