Points Per Game
2011-12 NBA 20.7 (10th)
2013-14 NBA 24.1 (6th)
2014-15 NBA 21.9 (8th)
Active 21.5 (9th)
Career NBA 21.5 (36th)
Career 21.5 (37th)
