Player Efficiency Rating
2011-12 NBA 23.4 (7th)
2013-14 NBA 23.9 (9th)
2014-15 NBA 22.8 (8th)
Active 22.8 (8th)
Career NBA 22.8 (25th)
Career 22.8 (26th)
