Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Willie Green,,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0.0,-0.1,-0.1,-0.7
Marko Jaric,79.8,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,,,
Nick Young,76.8,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1,,,
John Crotty,76.2,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1,
Clint Richardson,75.3,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,
Evan Turner,74.9,4.0,2.5,2.4,2.3,2.1,1.4,,,,,,
J.J. Barea,74.5,3.2,2.8,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1,,
Mike McGee,74.3,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,,,
David Wingate,73.9,2.4,2.3,1.9,1.7,1.4,1.0,0.6,0.4,0.3,0.2,0.1,-0.5
Steve Colter,72.9,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,,
Mike Bratz,72.8,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,,
