Blocks Per Game
1992-93 NBA 3.5 (4th)
1993-94 NBA 3.1 (4th)
1994-95 NBA 2.9 (5th)
1995-96 NBA 2.7 (5th)
1996-97 NBA 2.9 (4th)
1997-98 NBA 2.2 (9th)
1998-99 NBA 3.9 (1st)
1999-00 NBA 3.7 (1st)
2001-02 NBA 2.5 (3rd)
2005-06 NBA 2.7 (3rd)
2006-07 NBA 2.3 (6th)
Career NBA 2.8 (6th)
Career 2.8 (6th)
