Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,23,CHH,NBA,C,,,,,,,,,,,,,,,,,,,,
1994-95,24,CHH,NBA,C,1,0,19:00,4,9,.444,0,1,.000,2,3,.667,0,8,1,0,1,1,5,10
1995-96,25,MIA,NBA,C,1,0,13:00,1,6,.167,0,0,,0,0,,0,1,0,0,1,2,2,2
1996-97,26,MIA,NBA,C,,,,,,,0,,,,,,,,,,,,,
1999-00,29,MIA,NBA,C,1,1,27:00,7,11,.636,0,0,,1,2,.500,2,7,1,3,4,1,4,15
2000-01,30,MIA,NBA,C,,,,,,,,,,,,,,,,,,,,
2001-02,31,MIA,NBA,C,1,0,16:00,6,7,.857,0,0,,1,1,1.000,1,3,2,0,2,1,1,13
