Defensive Win Shares
1994-95 NBA 5.1 (7th)
1995-96 NBA 5.5 (7th)
1996-97 NBA 5.6 (6th)
1998-99 NBA 3.9 (4th)
1999-00 NBA 5.6 (4th)
Career NBA 48.0 (51st)
Career 48.0 (54th)
