Free Throw Attempts
1992-93 NBA 634 (5th)
1993-94 NBA 568 (5th)
1994-95 NBA 644 (4th)
1995-96 NBA 712 (2nd)
1996-97 NBA 565 (9th)
1998-99 NBA 423 (5th)
1999-00 NBA 582 (8th)
Career NBA 5862 (42nd)
Career 5862 (48th)
