Player,Sim,1,2,3,4,5,6,7,8,9
O.J. Mayo,,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,
Jrue Holiday,89.4,5.7,4.2,3.4,3.4,3.3,1.5,1.2,,
Carlos Delfino,88.2,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,
John Williamson,87.0,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,
Jeremy Lin,85.7,5.4,4.4,3.5,2.7,2.7,0.5,,,
George Senesky,85.6,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,
Jodie Meeks,84.8,5.1,4.5,4.1,3.1,3.0,0.9,0.1,,
Sarunas Marciulionis,84.3,6.4,3.8,3.0,2.6,2.5,2.3,-0.5,,
Vincent Askew,84.2,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2
Eric Gordon,84.1,5.3,4.6,3.2,2.9,2.5,2.1,1.1,0.7,
Darwin Cook,83.8,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,
