Player,Sim,1,2,3,4,5,6,7,8,9,10
Rudy Gay,,6.4,6.1,6.0,5.5,5.0,4.8,4.0,3.8,3.3,0.5
Dave DeBusschere,94.3,6.6,6.6,6.2,5.9,5.2,4.8,4.7,3.7,3.6,0.0
Purvis Short,92.9,6.2,6.0,5.7,5.4,5.2,5.0,4.4,3.7,2.6,2.2
Joe Smith,92.4,6.8,6.3,6.1,5.5,4.7,4.4,4.4,3.7,3.0,2.6
Eddie Johnson,91.4,7.4,6.5,5.6,5.5,5.3,4.3,4.0,3.9,3.0,1.8
Jack Coleman,91.1,6.7,6.5,6.4,6.2,5.8,5.0,4.3,4.1,2.6,
Keith Van Horn,90.5,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,
Cliff Levingston,90.0,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3
Robert Horry,89.9,6.9,6.6,5.9,5.7,4.9,4.2,3.6,2.9,2.6,1.7
John Salley,89.6,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6
Xavier McDaniel,89.4,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4
