Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rudy Gay,,6.4,6.1,6.0,5.5,5.0,4.8,4.0,3.8,3.3,0.5,,
Amir Johnson,93.0,7.3,6.3,5.9,5.6,5.1,4.5,4.0,3.0,2.7,0.5,0.2,
Jack Coleman,91.1,6.7,6.5,6.4,6.2,5.8,5.0,4.3,4.1,2.6,,,
Keith Van Horn,90.5,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,,,
Cliff Levingston,89.3,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,
Purvis Short,89.1,6.2,6.0,5.7,5.4,5.2,5.0,4.4,3.7,3.3,2.6,2.2,1.4
John Salley,88.9,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,
Thaddeus Young,88.8,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1,,,
Xavier McDaniel,88.4,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0.0
Brandon Bass,88.1,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.0,0.1,0.0,
Junior Bridgeman,87.2,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6
