Minutes Per Game
2009-10 NBA 39.7 (3rd)
2010-11 NBA 39.9 (2nd)
2011-12 NBA 37.3 (8th)
Active 35.6 (7th)
Career NBA 35.6 (53rd)
Career 35.6 (55th)
