Defensive Box Plus/Minus
1997-98 NBA 3.4 (10th)
1998-99 NBA 3.6 (6th)
1999-00 NBA 3.6 (5th)
2000-01 NBA 4.9 (2nd)
2002-03 NBA 3.3 (8th)
2003-04 NBA 4.0 (7th)
2004-05 NBA 3.0 (9th)
Career NBA 3.4 (16th)
Career 3.4 (18th)
