Blocks Per Game
1997-98 NBA 3.1 (4th)
1998-99 NBA 3.0 (3rd)
1999-00 NBA 3.0 (4th)
2000-01 NBA 3.7 (1st)
2002-03 NBA 3.2 (1st)
2003-04 NBA 3.6 (1st)
2004-05 NBA 2.5 (4th)
Career NBA 2.4 (12th)
Career 2.4 (12th)
