Defensive Box Plus/Minus
1994-95 NBA 4.8 (1st)
1996-97 NBA 4.2 (2nd)
1997-98 NBA 4.7 (1st)
1999-00 NBA 5.6 (1st)
2000-01 NBA 4.4 (3rd)
2001-02 NBA 3.5 (4th)
2003-04 NBA 3.2 (9th)
Career NBA 4.0 (8th)
Career 4.0 (8th)
