Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Bo Outlaw,,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2,0.0
Scott Wedman,90.2,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1,,
Anderson Varejao,89.6,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,,,
Kelly Tripucka,89.5,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2.0,1.7,,,,,
Trevor Ariza,88.3,8.0,6.6,6.1,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9,,,
Cazzie Russell,88.2,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3.0,2.2,2.0,1.8,1.1,,,
Bryon Russell,87.0,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0.0,,
Dave Greenwood,86.9,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2.0,1.7,1.1,0.4,,,
Grant Long,85.4,8.4,7.7,6.6,6.5,5.1,5.0,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2
Nick Anderson,85.2,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8,0.0,-0.4,,
Marvin Williams,85.2,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3,,,,
