Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,439,8904,.561,2.8,.993,.736,.175,.042,.040,.007,.564,.642,.374,.271,.250,.200,.717,.103,136,.500,.100,.000,3,0
3 seasons,,PHO,NBA,,192,3782,.539,2.9,.993,.759,.125,.053,.056,.007,.541,.609,.378,.226,.273,.250,.748,.098,54,1.000,.250,.000,1,0
5 seasons,,ORL,NBA,,165,3516,.619,2.1,.996,.760,.190,.036,.010,.004,.619,.690,.389,.389,.400,.500,.689,.124,60,.000,.000,,0,0
1 season,,MEM,NBA,,82,1606,.510,3.5,.987,.651,.247,.032,.058,.013,.516,.626,.351,.200,.167,.000,.711,.077,22,,.000,,2,0
