Season,Team,Lg,Salary
2010-11,Sacramento Kings,NBA,"$730,437"
2011-12,Sacramento Kings,NBA,"$762,195"
2014-15,Miami Heat,NBA,"$769,881"
2015-16,Miami Heat,NBA,"$981,348"
